matchid,teamid,0_1,0_2,0_3,0_4,1_2,1_3,1_4,2_3,2_4,3_4,cs_00,cs_01,cs_02,cs_03,cs_04,cs_05,cs_06,cs_07,cs_08,cs_09,total_cs,gameDuration,win,total_death,total_kills,total_obj,delta_cs
NA1_3880258550,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,11,2754368,True,38,59,6,-363
NA1_3880258550,1,57,242,1,1,67,1,1,1,1,2,242,67,57,2,1,1,1,1,1,1,374,2754368,False,59,38,6,363
NA1_3877804080,0,1,5,1,7,1,118,1,1,4,1,118,7,5,4,1,1,1,1,1,1,140,1901959,True,35,37,6,-16
NA1_3877804080,1,1,1,1,1,1,10,103,1,1,36,103,36,10,1,1,1,1,1,1,1,156,1901959,False,37,35,6,16
NA1_3877741010,0,1,1,1,1,1,81,90,1,1,321,321,90,81,1,1,1,1,1,1,1,499,1311444,False,29,13,6,155
NA1_3877741010,1,101,1,147,1,1,89,1,1,1,1,147,101,89,1,1,1,1,1,1,1,344,1311444,True,13,29,6,-155
NA1_3877704358,0,1,1,1,1,1,1,1,1,1,105,105,1,1,1,1,1,1,1,1,1,114,1766376,False,34,17,6,-432
NA1_3877704358,1,1,1,1,1,36,90,8,360,17,31,360,90,36,31,17,8,1,1,1,1,546,1766376,True,17,34,6,432
NA1_3875350812,0,1,1,50,43,1,1,1,1,1,175,175,50,43,1,1,1,1,1,1,1,275,1738836,False,43,36,6,-22
NA1_3875350812,1,1,1,1,1,35,70,81,25,19,63,81,70,63,35,25,19,1,1,1,1,297,1738836,True,38,43,6,22
NA1_3875264706,0,148,1,1,20,1,1,19,190,1,1,190,148,20,19,1,1,1,1,1,1,383,1845537,False,31,26,6,270
NA1_3875264706,1,47,1,1,1,1,1,1,1,1,58,58,47,1,1,1,1,1,1,1,1,113,1845537,True,26,31,6,-270
NA1_3874024510,0,35,1,59,39,1,58,26,1,1,38,59,58,39,38,35,26,1,1,1,1,259,2013795,False,38,20,6,-230
NA1_3874024510,1,1,77,131,72,1,1,1,72,48,85,131,85,77,72,72,48,1,1,1,1,489,2013795,True,20,38,6,230
NA1_3873990029,0,9,1,273,148,1,8,8,1,1,125,273,148,125,9,8,8,1,1,1,1,575,1388962,True,20,36,6,369
NA1_3873990029,1,71,1,61,1,1,67,1,1,1,1,71,67,61,1,1,1,1,1,1,1,206,1388962,False,36,19,6,-369
NA1_3873954603,0,5,1,15,1,1,4,1,1,1,1,15,5,4,1,1,1,1,1,1,1,31,1254537,True,18,40,6,-159
NA1_3873954603,1,1,1,1,1,1,43,52,1,1,88,88,52,43,1,1,1,1,1,1,1,190,1254537,False,40,18,6,159
NA1_3873890219,0,141,1,138,39,1,138,39,1,1,39,141,138,138,39,39,39,1,1,1,1,538,1372146,True,17,33,6,-87
NA1_3873890219,1,47,1,58,60,1,146,160,1,1,150,160,150,146,60,58,47,1,1,1,1,625,1372146,False,33,17,6,87
NA1_3870919191,0,136,24,1,1,24,1,1,1,1,5,136,24,24,5,1,1,1,1,1,1,195,1843892,False,39,20,6,165
NA1_3870919191,1,13,1,1,1,1,1,1,1,1,9,13,9,1,1,1,1,1,1,1,1,30,1843892,True,20,39,6,-165
NA1_3870044103,0,1,1,269,1,113,1,84,1,88,1,269,113,88,84,1,1,1,1,1,1,560,1690773,True,19,55,6,502
NA1_3870044103,1,1,1,21,2,1,1,1,1,1,28,28,21,2,1,1,1,1,1,1,1,58,1690773,False,56,19,6,-502
NA1_3869949355,0,1,1,65,67,1,1,1,1,1,119,119,67,65,1,1,1,1,1,1,1,258,1333966,True,16,28,6,-459
NA1_3869949355,1,1,1,202,140,224,1,1,1,1,145,224,202,145,140,1,1,1,1,1,1,717,1333966,False,28,16,6,459
NA1_3864574502,0,251,191,1,333,244,1,248,1,190,1,333,251,248,244,191,190,1,1,1,1,1461,1308314,True,14,26,6,1039
NA1_3864574502,1,1,1,1,1,165,1,1,1,1,249,249,165,1,1,1,1,1,1,1,1,422,1308314,False,26,14,6,-1039
NA1_3863210086,0,1,1,1,1,184,126,51,167,72,67,184,167,126,72,67,51,1,1,1,1,671,1248915,True,17,34,6,213
NA1_3863210086,1,129,87,27,72,55,3,36,7,38,4,129,87,72,55,38,36,27,7,4,3,458,1248915,False,34,17,6,-213
NA1_3863173080,0,1,1,418,1,26,1,1,1,1,1,418,26,1,1,1,1,1,1,1,1,452,1132541,True,15,32,6,-17
NA1_3863173080,1,1,1,1,1,103,17,64,18,250,13,250,103,64,18,17,13,1,1,1,1,469,1132541,False,32,14,6,17
NA1_3863108026,0,1,126,61,1,1,1,1,58,1,1,126,61,58,1,1,1,1,1,1,1,252,1141873,True,5,21,6,-281
NA1_3863108026,1,15,18,1,4,132,1,110,1,250,1,250,132,110,18,15,4,1,1,1,1,533,1141873,False,21,5,6,281
NA1_3858176217,0,82,1,1,1,1,1,1,26,39,47,82,47,39,26,1,1,1,1,1,1,200,963941,False,16,5,6,-115
